index,year,brand,superbowl_ads_dot_com_url,youtube_url,Genre,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,theme_2,altruistic/consumerist
103,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/,https://www.youtube.com/watch?v=kH50-giCeDM,Beer,yes,yes,no,no,yes,no,no,365,10,0.97,,,consumerist
104,2008,Hynudai,https://superbowl-ads.com/2008-hyundai-genesis-luxury/,https://www.youtube.com/watch?v=PsKJUnGEGSs,Automotive,no,yes,no,no,no,no,no,,,,informative,,consumerist
105,2010,NFL,https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/,https://www.youtube.com/watch?v=6cMHr8goUgU,Football,no,no,yes,no,no,no,no,508,17,0.97,together,,consumerist
106,2005,Pepsi,https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/,https://www.youtube.com/watch?v=vUwROngDC88,Soft Drink,yes,yes,no,no,no,no,no,4,0,1,informative,,consumerist
107,2018,Budweiser,https://superbowl-ads.com/41891-2/,https://www.youtube.com/watch?v=GNVw5f16GEM,Beer,no,no,yes,no,no,no,no,176,10,0.95,together,informative,altruistic
108,2018,Bud Light,https://superbowl-ads.com/bud-light-the-bud-knight/,https://www.youtube.com/watch?v=UizTtcBsNi8,Beer,yes,yes,no,no,yes,yes,no,,,,together,,consumerist
109,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-sleigh-ride/,https://www.youtube.com/watch?v=yQ_nU0_R7PE,Beer,yes,no,no,no,yes,yes,yes,120,7,0.94,,together,consumerist
110,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-anniversary-card/,https://www.youtube.com/watch?v=LnU2T2P1oxA,Beer,yes,no,no,no,no,no,yes,59,4,0.94,,,consumerist
111,2006,Budweiser,https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/,https://www.youtube.com/watch?v=4WeAvfP1ikU,Beer,yes,yes,no,no,no,no,no,84,18,0.82,together,,consumerist
112,2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/,https://www.youtube.com/watch?v=PnOW5qj_R6A,Beer,no,yes,no,yes,no,yes,yes,,,,,,consumerist
113,2009,Coca-Cola,https://superbowl-ads.com/2009-coca-cola-avatar/,https://www.youtube.com/watch?v=Kwke0LNardc,Soft Drink,yes,no,no,no,no,yes,yes,3500,297,0.92,,,consumerist
114,2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-1/,,Beer,yes,yes,no,yes,no,no,yes,,,,,,consumerist
115,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-third-arm/,,Beer,yes,yes,no,no,no,no,yes,,,,,,consumerist
116,2014,Toyota,https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/,https://www.youtube.com/watch?v=b01P9PaaoLk,Automotive,yes,yes,no,yes,no,yes,no,256,7,0.97,informative,,consumerist
117,2009,Bud Light,https://superbowl-ads.com/2009-bud-light-skier/,https://www.youtube.com/watch?v=LEVQAU_LITI,Beer,yes,yes,no,no,yes,no,yes,34,3,0.92,informative,,consumerist
